GM,,,,,,
Item #,Description / Value,Link,Distributor,Για Παραγγελια,stock,Ημερομηνία απογραφής
1,Πληκτρολόγια+Ποντικια Σετ,,,,25,22/12/2025
2,Άκουστικά,,,,18,22/12/2025
3,Μικρόφωνα,,,-,4,22/12/2025
4,Κάμερες,,,-,112,22/12/2025
5,Audio Amplifier ESCAPE,,,-,16,24/11/25
,Audio Amplifier Agent,,,,28,22/12/2025
6,Mixing Amplifier,,,-,10,24/11/25
7,Speakers Escape,,,,15,24/11/25
,Speakers Agent,,,,0,24/11/25
8,Switch 5 ports,,,,15,22/12/2025
9,Switch 8 ports,,,,20,22/12/2025
10,Switch 16 ports,,,,4,22/12/2025
11,Switch 48 ports,,,,0,22/12/2025
12,Κάρτες ήχου,,,-,6,24/11/25
13,Καλώδιο 6.5mm to 3.5mm,,,-,7,24/11/25
14,Καλώδιο 3.5mm to 2 RCA,,,-,14,24/11/25
15,Micro USB,,,-,0,24/11/25
16,Cable Hdmi to micro HDMI,,,,0,24/11/25
,Cable HDMI to HDMI 5m,,,,5,24/11/25
17,Cable HDMI to HDMI 3m,,,-,29,24/11/25
18,Cable HDMI to HDMI etc,,,,100,24/11/25
,Cable HDMI to DP 3m,,,,4,24/11/25
19,Cable HDMI to DP 5m,,,-,0,24/11/25
20,Cable DP to DP 5m,,,,15,24/11/25
21,Cable DP to DP 1m,,,-,22,24/11/25
22,"Cable UTP 0.5m,1m",,,-,53,24/11/25
23,"Mini PC Κινέζικο (2HDMI, 1DP)",,,,8,4/12/25
24,"Mini PC DELL (1HDMI, 1DP)",,,,14,4/12/25
25,"Mini PC lenovo M73 old (1DP, 1VGA)",,,,0,4/12/25
26,Mini PC lenovo M710 new (2DP),,,,1,4/12/25
27,Mini PC lenovo m83 NEW (1DP 1 VGA),,,,0,25/08/25
28,Rasberry (+ 10 charger),,,,51,20/10/25
29,SD Cards,,,,18,4/12/25
30,usb to usb type B,,,,14,24/11/25
31,usb to usb type B μπλε,,,,100,24/11/25
31,usb to type c,,,,9,24/11/25