ΚΑΛΩΔΙΑ,,,,
Item #,Description / Value,Για Παραγγελια,stock,Ημερομηνία απογραφής
1,2 x 2.5 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,6 κουλούρες,12/2/25
2,3 x 2.5 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,2 κουλούρες,24/11/25
3,3 x 1.5 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,11 κουλούρες,24/11/25
4,4 x 1 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,17 κουλούρες,12/2/25
5,2 x 1 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,41 κουλούρες,12/2/25
6,"LIYCY 4x0,75",-,4 στροφία,12/2/25
7,UTP / CAT 6,-,14 κουτιά,12/2/25
,3 x 1 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,0,29/09/25
,5 x 1.5 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,2 κουλούρες ,29/09/25
,Σπιράλ Κουβίδης,-,1 κουλούρα + 2 ανοιχτές,29/09/25
,,,,
ΡΕΤΑΛΙΑ,,,,
1,2 x 2.5 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,1 κουλούρες,29/09/25
2,3 x 2.5 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,3 κουλούρες,29/09/25
3,3 x 1.5 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,2 κουλούρες,29/09/25
4,3 x 1 Καλώδιο (με μόνωση) ΕΥΚΑΜΠΤΟ ΠΟΛΎΚΛΩΝΟ,-,2 κουλούρες,29/09/25